player_name,games,time,goals,xG,assists,xA,shots,key_passes,position,team_title,npg,npxG
Marcus Rashford,10,845,8,6.846153691411018,1,0.8686243481934071,37,7,M,Manchester United,5,4.562684014439583
Dominic Calvert-Lewin,10,887,8,7.363521104678512,1,0.9648948609828949,39,9,F,Everton,8,7.363521104678512
Pierre-Emerick Aubameyang,10,869,7,4.973360434174538,1,1.1721787974238396,26,6,F M,Arsenal,7,4.973360434174538
Sergio Agüero,10,614,7,6.636364996433258,1,0.8684590198099613,32,8,F S,Manchester City,7,5.875196129083633
Anthony Martial,10,861,6,3.4732726514339447,0,0.39455212838947773,26,8,F,Manchester United,6,3.4732726514339447
Mohamed Salah,10,897,6,5.748305514454842,2,3.867242071777582,38,21,F,Liverpool,5,4.987136676907539
Raúl Jiménez,10,807,6,7.058205835521221,1,1.5732790119946003,38,10,F S,Wolverhampton Wanderers,5,6.297036997973919
Son Heung-Min,10,875,5,5.090635243803263,3,2.8212594091892242,30,13,F M,Tottenham,5,4.32946652546525
Troy Deeney,10,882,5,5.629814594984055,2,2.406696941703558,21,15,F,Watford,4,4.107476979494095
Harry Kane,10,888,5,3.520422086119652,1,1.1460483931005,29,13,F,Tottenham,4,2.759290024638176
Christian Pulisic,10,773,5,4.857845157384872,0,0.7519436329603195,35,13,F M S,Chelsea,5,4.857845157384872
Gabriel Jesus,10,570,5,7.044274726882577,3,1.439353071153164,29,9,F S,Manchester City,5,6.283105859532952
Sadio Mané,10,758,4,5.612332060933113,2,0.7269028685986996,21,9,F M S,Liverpool,4,5.612332060933113
Danny Ings,10,656,4,3.5798799879848957,0,0.5009842971339822,27,5,F S,Southampton,4,3.5798799879848957
Marcos Alonso,10,771,4,1.5486389147117734,2,2.0359728448092937,17,15,D M S,Chelsea,4,1.5486389147117734
Ismaila Sarr,10,781,4,4.764304950833321,3,2.208605784922838,27,13,M S,Watford,4,4.764304950833321
Richarlison,10,897,4,2.643586866557598,1,3.7489637471735477,27,16,F M,Everton,4,2.643586866557598
Mason Greenwood,10,420,4,0.6686693457886577,0,0.2820034334436059,13,8,F M S,Manchester United,4,0.6686693457886577
Mark Noble,10,900,3,1.6258314698934555,0,0.7378844004124403,7,9,M,West Ham,1,0.10349380970001221
Raheem Sterling,10,792,3,5.4492525570094585,0,1.5786981880664825,27,11,F M S,Manchester City,3,4.688083719462156
Jordan Ayew,10,900,3,2.0750432424247265,1,1.248582884669304,16,9,F M,Crystal Palace,3,2.0750432424247265
Jack Grealish,10,900,3,1.2670025900006294,2,2.6401820816099644,23,32,F M,Aston Villa,3,1.2670025900006294
Riyad Mahrez,10,701,3,2.6660181675106287,4,3.646311827003956,29,21,F M S,Manchester City,3,2.6660181675106287
Jamie Vardy,10,844,3,4.488815546035767,1,1.770822212100029,20,7,F,Leicester,3,3.727646678686142
Jonjo Shelvey,10,859,3,0.9419688619673252,0,1.951340964064002,22,21,M,Newcastle United,3,0.9419688619673252
Ayoze Pérez,10,649,3,2.92536149173975,3,2.1310109049081802,14,11,F M S,Leicester,2,2.1641926392912865
Jay Rodriguez,10,712,3,4.064155348576605,0,0.02909279614686966,26,1,F S,Burnley,2,3.302986511029303
Alex Oxlade-Chamberlain,10,638,3,1.0567381624132395,0,0.48824535496532917,12,9,F M S,Liverpool,3,1.0567381624132395
Jorginho,10,828,3,2.193845158442855,0,0.6878437604755163,5,8,M S,Chelsea,1,0.6715074684470892
Abdoulaye Doucouré,10,870,3,1.8754473626613617,2,1.8689554911106825,20,11,M,Watford,3,1.8754473626613617
Issa Diop,10,787,3,0.8131298236548901,0,0,4,0,D S,West Ham,3,0.8131298236548901
Chris Wood,10,757,3,3.2919824719429016,1,0.23178977519273758,16,7,F S,Burnley,3,3.2919824719429016
Nicolas Pepe,10,694,3,1.3583229966461658,3,2.44875381141901,12,15,M S,Arsenal,3,1.3583229966461658
Harvey Barnes,10,679,3,2.9562315810471773,2,1.338675994426012,17,15,M S,Leicester,3,2.9562315810471773
Diogo Jota,10,662,3,4.8909640200436115,1,0.7651678267866373,22,9,F M S,Wolverhampton Wanderers,3,4.8909640200436115
Stuart Armstrong,10,791,3,1.3519399240612984,0,0.9699010476469994,26,11,M S,Southampton,3,1.3519399240612984
John Fleck,10,900,3,1.5913969334214926,1,1.1402189452201128,15,10,M,Sheffield United,3,1.5913969334214926
Gabriel Martinelli,10,575,3,2.1622390039265156,0,0.11354188434779644,11,2,M S,Arsenal,3,2.1622390039265156
Sokratis,10,888,2,0.9969206247478724,0,0,5,0,D,Arsenal,2,0.9969206247478724
Kevin De Bruyne,10,847,2,1.200846428051591,7,5.24802403524518,27,34,M,Manchester City,2,1.200846428051591
Joshua King,10,733,2,3.3307343013584614,0,1.5109157748520374,10,10,F M S,Bournemouth,2,3.3307343013584614
Callum Wilson,10,837,2,3.2030089162290096,0,1.360659047961235,19,8,F S,Bournemouth,2,3.2030089162290096
Roberto Firmino,10,889,2,6.265438973903656,3,1.9726313389837742,31,16,F M,Liverpool,2,6.265438973903656
Divock Origi,10,213,2,1.5194727331399918,1,0.46493001002818346,6,2,F S,Liverpool,2,1.5194727331399918
Gerard Deulofeu,10,826,2,2.6485320888459682,3,1.649866009131074,26,16,M,Watford,2,2.6485320888459682
Jordan Henderson,10,892,2,0.5735421925783157,3,1.9811733700335026,10,15,M,Liverpool,2,0.5735421925783157
Kelechi Iheanacho,10,500,2,1.7563159875571728,2,1.8814455941319466,14,10,F S,Leicester,2,1.7563159875571728
Dele Alli,10,786,2,4.204592913389206,1,1.4420742392539978,21,9,F M S,Tottenham,2,4.204592913389206
Ashley Westwood,10,900,2,0.2520138109102845,1,2.5254618413746357,5,14,M,Burnley,2,0.2520138109102845
César Azpilicueta,10,900,2,1.8463944420218468,1,1.7447154708206654,14,8,D M,Chelsea,2,1.8463944420218468
Tammy Abraham,10,812,2,4.528083458542824,0,0.3195438403636217,26,5,F S,Chelsea,2,4.528083458542824
Jeffrey Schlupp,10,576,2,1.3211156520992517,0,0.2954249856993556,9,4,D M S,Crystal Palace,2,1.3211156520992517
Moussa Sissoko,10,814,2,1.8931522965431213,0,0.6384851802140474,6,6,M S,Tottenham,2,1.8931522965431213
Nathan Redmond,10,847,2,1.8893619254231453,1,0.9930942254140973,15,15,F M,Southampton,2,1.8893619254231453
Shane Long,10,754,2,2.7252996508032084,1,0.7812552116811275,19,12,F S,Southampton,2,2.7252996508032084
Matej Vydra,9,298,2,1.8906695321202278,1,0.07714597880840302,9,3,F S,Burnley,2,1.8906695321202278
Tyrone Mings,10,832,2,0.6224984023720026,0,0.1503698006272316,6,3,D,Aston Villa,2,0.6224984023720026
Bruno Fernandes,4,360,2,1.3996587619185448,2,0.709463607519865,16,8,M,Manchester United,1,0.6384899392724037
Robert Snodgrass,10,622,2,0.42132115457206964,4,1.5483116209506989,9,11,F M S,West Ham,2,0.42132115457206964
Roberto Pereyra,10,435,2,0.8828233927488327,0,0.1895327139645815,3,5,M S,Watford,2,0.8828233927488327
Oliver McBurnie,10,706,2,4.366506827995181,0,0.24477142002433538,21,4,F S,Sheffield United,2,4.366506827995181
Antonio Rüdiger,10,900,2,0.6670993007719517,0,0.4384452514350414,7,2,D,Chelsea,2,0.6670993007719517
Pablo Fornals,10,498,2,1.087939791381359,2,0.8507936112582684,10,4,M S,West Ham,2,1.087939791381359
Alexandre Lacazette,10,701,2,2.321259081363678,2,1.8937033414840698,15,11,F S,Arsenal,2,2.321259081363678
Ashley Barnes,10,660,2,2.175753517076373,0,0.11800722032785416,13,3,F S,Burnley,1,1.4145846646279097
Patrick Cutrone,10,277,2,2.2888070419430733,0,0.4840551167726517,11,2,F S,Wolverhampton Wanderers,2,2.2888070419430733
Florian Lejeune,6,442,2,0.38908431958407164,0,0.051249224692583084,4,1,D S,Newcastle United,2,0.38908431958407164
Aaron Mooy,10,852,2,1.8994863033294678,0,1.6744247768074274,21,21,M,Brighton,2,1.8994863033294678
Sébastien Haller,10,787,2,2.4295668061822653,0,0.9478972284123302,18,9,F S,West Ham,2,2.4295668061822653
Pedro Neto,10,543,2,0.903625151142478,0,1.0226517813280225,8,8,F M S,Wolverhampton Wanderers,2,0.903625151142478
Cenk Tosun,10,467,2,1.9128959476947784,0,0.6228388315066695,15,5,F S,"Crystal Palace,Everton",2,1.9128959476947784
Michael Obafemi,10,426,2,1.17035399004817,0,0.6439533233642578,8,5,F S,Southampton,2,1.17035399004817
Yerry Mina,10,732,2,1.9473103322088718,1,0.7805503979325294,13,3,D S,Everton,2,1.9473103322088718
Alireza Jahanbakhsh,7,276,2,0.5783372670412064,0,0.9932915829122066,12,4,F M S,Brighton,2,0.5783372670412064
Matt Doherty,10,900,2,3.081984907388687,1,0.9825425855815411,14,8,M,Wolverhampton Wanderers,2,3.081984907388687
Teemu Pukki,10,883,2,4.309166416525841,0,0.20773933827877045,25,5,F,Norwich,0,2.786828726530075
Conor Hourihane,10,525,2,0.293795520439744,1,1.9273990169167519,6,9,M S,Aston Villa,2,0.293795520439744
Matthew Longstaff,7,541,2,0.608845729380846,0,0.18956130929291248,3,3,M S,Newcastle United,2,0.608845729380846
Steven Bergwijn,4,333,2,1.0170821025967598,0,0.2524939030408859,6,6,F M,Tottenham,2,1.0170821025967598
Mario Vrancic,10,346,1,0.5818414203822613,0,0.20199481304734945,7,5,M S,Norwich,1,0.5818414203822613
Fabian Schär,10,690,1,0.27047340385615826,0,0.08361350558698177,8,3,D S,Newcastle United,1,0.27047340385615826
Allan Saint-Maximin,10,797,1,0.8473310824483633,1,1.1865525804460049,19,13,M S,Newcastle United,1,0.8473310824483633
Chicharito,2,107,1,0.8829848766326904,0,0,3,0,F S,West Ham,1,0.8829848766326904
