player_name,games,time,goals,xG,assists,xA,shots,key_passes,position,team_title,npg,npxG
Pierre-Emerick Aubameyang,25,2219,17,12.099752061069012,1,3.1151421517133713,64,18,F M,Arsenal,16,11.338620088994503
Jamie Vardy,25,2194,17,13.387893564999104,4,3.383557381108403,57,16,F,Leicester,14,10.343218170106411
Sergio Agüero,21,1346,16,14.707202166318893,3,2.8795574195683002,72,19,F S,Manchester City,14,12.42373251914978
Danny Ings,28,1936,15,10.805593678727746,1,1.8449914660304785,67,21,F M S,Southampton,15,10.805593678727746
Mohamed Salah,25,2175,15,15.278320826590061,6,6.713403198868036,96,44,F,Liverpool,12,12.99481425434351
Marcus Rashford,22,1890,14,15.110983923077583,4,3.2046038936823606,74,24,F M,Manchester United,9,9.782838862389326
Tammy Abraham,25,1976,13,13.430945873260498,3,2.8521944992244244,73,20,F S,Chelsea,13,13.430945873260498
Sadio Mané,25,2000,13,12.30285382270813,6,4.751034580171108,57,39,F M S,Liverpool,13,12.30285382270813
Raúl Jiménez,28,2383,13,13.488465741276741,6,6.573835421353579,95,41,F S,Wolverhampton Wanderers,10,11.204959198832512
Dominic Calvert-Lewin,26,1843,13,12.566680720075965,1,1.1579966507852077,64,13,F S,Everton,13,12.566680720075965
Raheem Sterling,23,1949,11,13.308042753487825,1,5.880531318485737,69,35,F M S,Manchester City,11,12.546873915940523
Harry Kane,20,1785,11,7.897518165409565,2,1.958489641547203,57,20,F,Tottenham,9,6.375217266380787
Teemu Pukki,27,2405,11,10.199325520545244,3,3.407365882769227,71,26,F,Norwich,9,8.676987830549479
Anthony Martial,22,1821,10,8.483855031430721,3,2.5388134699314833,56,20,F S,Manchester United,10,7.722686313092709
Chris Wood,25,1993,10,12.900487318634987,1,0.5836150646209717,47,15,F S,Burnley,10,12.900487318634987
Gabriel Jesus,23,1296,10,14.120773887261748,4,1.8637200482189655,67,16,F S,Manchester City,10,13.359605019912124
Richarlison,26,2278,10,7.419308399781585,3,5.893276214599609,69,31,F M,Everton,10,7.419308399781585
Kevin De Bruyne,26,2177,9,5.240828571841121,16,14.711011614650488,76,94,M S,Manchester City,9,5.240828571841121
Son Heung-Min,21,1764,9,7.868720996193588,7,5.1928730346262455,64,30,F M S,Tottenham,9,7.107552277855575
Roberto Firmino,28,2355,8,14.264808751642704,7,6.28833619877696,84,39,F M S,Liverpool,8,14.264808751642704
Neal Maupay,27,2031,8,11.138653870671988,2,1.6288625821471214,79,16,F S,Brighton,7,10.377485051751137
Callum Wilson,27,2267,7,8.058166600763798,0,2.9178989361971617,41,26,F S,Bournemouth,7,8.058166600763798
Dele Alli,21,1686,7,6.969576438888907,4,3.458691105246544,37,22,F M S,Tottenham,7,6.969576438888907
Jordan Ayew,27,2324,7,6.088619442656636,1,1.9796468950808048,43,21,F M,Crystal Palace,7,6.088619442656636
Jack Grealish,25,2245,7,5.769523777067661,6,5.894035287201405,55,70,F M,Aston Villa,7,5.008354924619198
Riyad Mahrez,22,1352,7,4.931197104975581,8,8.01271584071219,52,44,F M S,Manchester City,7,4.931197104975581
Ayoze Pérez,25,1621,7,6.25434061139822,4,3.0838992800563574,37,21,F M S,Leicester,6,5.493171758949757
Harry Wilson,23,1480,7,3.3538780277594924,0,2.212533320300281,47,14,F M S,Bournemouth,7,3.3538780277594924
